2025-08-12 00:47:57,712 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-12 00:47:57,714 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-12 00:47:57,716 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-12 00:48:17,229 - INFO - ✅ Chunk 42 into 'purchases' → Rows: 10000, Mem: 143.12 MB
2025-08-12 00:48:17,451 - INFO - ✅ Chunk 43 into 'purchases' → Rows: 10000, Mem: 143.02 MB
2025-08-12 00:48:17,600 - INFO - ✅ Chunk 44 into 'purchases' → Rows: 10000, Mem: 143.1 MB
2025-08-12 00:48:17,742 - INFO - ✅ Chunk 45 into 'purchases' → Rows: 10000, Mem: 142.45 MB
2025-08-12 00:48:17,885 - INFO - ✅ Chunk 46 into 'purchases' → Rows: 10000, Mem: 143.0 MB
2025-08-12 00:48:18,034 - INFO - ✅ Chunk 47 into 'purchases' → Rows: 10000, Mem: 142.62 MB
2025-08-12 00:48:18,174 - INFO - ✅ Chunk 48 into 'purchases' → Rows: 10000, Mem: 143.23 MB
2025-08-12 00:48:18,320 - INFO - ✅ Chunk 49 into 'purchases' → Rows: 10000, Mem: 142.87 MB
2025-08-12 00:48:18,466 - INFO - ✅ Chunk 50 into 'purchases' → Rows: 10000, Mem: 142.15 MB
2025-08-12 00:48:18,609 - INFO - ✅ Chunk 51 into 'purchases' → Rows: 10000, Mem: 143.31 MB
2025-08-12 00:48:18,751 - INFO - ✅ Chunk 52 into 'purchases' → Rows: 10000, Mem: 143.26 MB
2025-08-12 00:48:18,966 - INFO - ✅ Chunk 53 into 'purchases' → Rows: 10000, Mem: 143.11 MB
2025-08-12 00:48:19,122 - INFO - ✅ Chunk 54 into 'purchases' → Rows: 10000, Mem: 144.23 MB
2025-08-12 00:48:19,268 - INFO - ✅ Chunk 55 into 'purchases' → Rows: 10000, Mem: 142.77 MB
2025-08-12 00:48:19,415 - INFO - ✅ Chunk 56 into 'purchases' → Rows: 10000, Mem: 143.37 MB
2025-08-12 00:48:19,568 - INFO - ✅ Chunk 57 into 'purchases' → Rows: 10000, Mem: 144.36 MB
2025-08-12 00:48:19,713 - INFO - ✅ Chunk 58 into 'purchases' → Rows: 10000, Mem: 148.36 MB
2025-08-12 00:48:19,858 - INFO - ✅ Chunk 59 into 'purchases' → Rows: 10000, Mem: 149.27 MB
2025-08-12 00:48:20,007 - INFO - ✅ Chunk 60 into 'purchases' → Rows: 10000, Mem: 145.56 MB
2025-08-12 00:48:20,160 - INFO - ✅ Chunk 61 into 'purchases' → Rows: 10000, Mem: 143.88 MB
2025-08-12 00:48:20,382 - INFO - ✅ Chunk 62 into 'purchases' → Rows: 10000, Mem: 143.9 MB
2025-08-12 00:48:20,528 - INFO - ✅ Chunk 63 into 'purchases' → Rows: 10000, Mem: 146.5 MB
2025-08-12 00:48:20,751 - INFO - ✅ Chunk 64 into 'purchases' → Rows: 10000, Mem: 149.02 MB
2025-08-12 00:48:20,895 - INFO - ✅ Chunk 65 into 'purchases' → Rows: 10000, Mem: 149.37 MB
2025-08-12 00:48:21,038 - INFO - ✅ Chunk 66 into 'purchases' → Rows: 10000, Mem: 144.39 MB
2025-08-12 00:48:21,177 - INFO - ✅ Chunk 67 into 'purchases' → Rows: 10000, Mem: 144.39 MB
2025-08-12 00:48:21,316 - INFO - ✅ Chunk 68 into 'purchases' → Rows: 10000, Mem: 144.12 MB
2025-08-12 00:48:21,450 - INFO - ✅ Chunk 69 into 'purchases' → Rows: 10000, Mem: 149.2 MB
